Name,Birth,Death,Width,Category,Location,,,",","""",
"""Margaret Thatcher """,1925,2013,440,"""Politician""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",13,"VALUES(13,""Margaret Thatcher "",1925,2013,440,""Politician"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(13,""Margaret Thatcher "",1925,2013,440,""Politician"",""Europe"");"
"""Christopher Columbus """,1451,1506,275,"""Exploration""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",14,"VALUES(14,""Christopher Columbus "",1451,1506,275,""Exploration"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(14,""Christopher Columbus "",1451,1506,275,""Exploration"",""Europe"");"
"""Charles Darwin """,1809,1882,365,"""Scientist""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",15,"VALUES(15,""Charles Darwin "",1809,1882,365,""Scientist"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(15,""Charles Darwin "",1809,1882,365,""Scientist"",""Europe"");"
"""Elvis Presley """,1935,1977,210,"""Music""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",16,"VALUES(16,""Elvis Presley "",1935,1977,210,""Music"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(16,""Elvis Presley "",1935,1977,210,""Music"",""North America"");"
"""Albert Einstein """,1879,1955,380,"""Scientist""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",17,"VALUES(17,""Albert Einstein "",1879,1955,380,""Scientist"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(17,""Albert Einstein "",1879,1955,380,""Scientist"",""Europe"");"
"""Paul McCartney """,1942,2019,385,"""Music""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",18,"VALUES(18,""Paul McCartney "",1942,2019,385,""Music"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(18,""Paul McCartney "",1942,2019,385,""Music"",""Europe"");"
"""Queen Victoria """,1819,1901,410,"""Monarchy""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",19,"VALUES(19,""Queen Victoria "",1819,1901,410,""Monarchy"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(19,""Queen Victoria "",1819,1901,410,""Monarchy"",""Europe"");"
"""Pope Francis """,1936,2019,415,"""Religion""","""South America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",20,"VALUES(20,""Pope Francis "",1936,2019,415,""Religion"",""South America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(20,""Pope Francis "",1936,2019,415,""Religion"",""South America"");"
"""Jawaharlal Nehru """,1889,1964,375,"""Politician""","""Asia""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",21,"VALUES(21,""Jawaharlal Nehru "",1889,1964,375,""Politician"",""Asia"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(21,""Jawaharlal Nehru "",1889,1964,375,""Politician"",""Asia"");"
"""Leonardo da Vinci """,1452,1519,335,"""Artist""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",22,"VALUES(22,""Leonardo da Vinci "",1452,1519,335,""Artist"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(22,""Leonardo da Vinci "",1452,1519,335,""Artist"",""Europe"");"
"""Vincent Van Gogh """,1853,1890,185,"""Artist""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",23,"VALUES(23,""Vincent Van Gogh "",1853,1890,185,""Artist"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(23,""Vincent Van Gogh "",1853,1890,185,""Artist"",""Europe"");"
"""Franklin D. Roosevelt """,1882,1945,315,"""Politician""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",24,"VALUES(24,""Franklin D. Roosevelt "",1882,1945,315,""Politician"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(24,""Franklin D. Roosevelt "",1882,1945,315,""Politician"",""North America"");"
"""Pope John Paul II """,1920,2005,425,"""Religion""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",25,"VALUES(25,""Pope John Paul II "",1920,2005,425,""Religion"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(25,""Pope John Paul II "",1920,2005,425,""Religion"",""Europe"");"
"""Thomas Edison """,1847,1931,420,"""Scientist""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",26,"VALUES(26,""Thomas Edison "",1847,1931,420,""Scientist"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(26,""Thomas Edison "",1847,1931,420,""Scientist"",""North America"");"
"""Rosa Parks """,1913,2005,460,"""Activist""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",27,"VALUES(27,""Rosa Parks "",1913,2005,460,""Activist"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(27,""Rosa Parks "",1913,2005,460,""Activist"",""North America"");"
"""Aung San Suu Kyi """,1945,2019,370,"""Politician""","""Asia""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",28,"VALUES(28,""Aung San Suu Kyi "",1945,2019,370,""Politician"",""Asia"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(28,""Aung San Suu Kyi "",1945,2019,370,""Politician"",""Asia"");"
"""Lyndon Johnson """,1908,1973,325,"""Politician""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",29,"VALUES(29,""Lyndon Johnson "",1908,1973,325,""Politician"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(29,""Lyndon Johnson "",1908,1973,325,""Politician"",""North America"");"
"""Ludwig Beethoven """,1770,1827,285,"""Music""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",30,"VALUES(30,""Ludwig Beethoven "",1770,1827,285,""Music"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(30,""Ludwig Beethoven "",1770,1827,285,""Music"",""Europe"");"
"""Oprah Winfrey """,1954,2019,325,"""Entertainer""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",31,"VALUES(31,""Oprah Winfrey "",1954,2019,325,""Entertainer"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(31,""Oprah Winfrey "",1954,2019,325,""Entertainer"",""North America"");"
"""Indira Gandhi """,1917,1984,335,"""Politician""","""Asia""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",32,"VALUES(32,""Indira Gandhi "",1917,1984,335,""Politician"",""Asia"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(32,""Indira Gandhi "",1917,1984,335,""Politician"",""Asia"");"
"""Eva Peron """,1919,1952,165,"""Politician""","""South America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",33,"VALUES(33,""Eva Peron "",1919,1952,165,""Politician"",""South America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(33,""Eva Peron "",1919,1952,165,""Politician"",""South America"");"
"""Benazir Bhutto """,1953,2007,270,"""Politician""","""Asia""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",34,"VALUES(34,""Benazir Bhutto "",1953,2007,270,""Politician"",""Asia"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(34,""Benazir Bhutto "",1953,2007,270,""Politician"",""Asia"");"
"""George Orwell """,1903,1950,235,"""Author""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",35,"VALUES(35,""George Orwell "",1903,1950,235,""Author"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(35,""George Orwell "",1903,1950,235,""Author"",""Europe"");"
"""Desmond Tutu """,1931,2019,440,"""Religion""","""Africa""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",36,"VALUES(36,""Desmond Tutu "",1931,2019,440,""Religion"",""Africa"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(36,""Desmond Tutu "",1931,2019,440,""Religion"",""Africa"");"
"""Dalai Lama """,1938,2019,405,"""Religion""","""Asia""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",37,"VALUES(37,""Dalai Lama "",1938,2019,405,""Religion"",""Asia"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(37,""Dalai Lama "",1938,2019,405,""Religion"",""Asia"");"
"""Walt Disney """,1901,1966,325,"""Entertainer""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",38,"VALUES(38,""Walt Disney "",1901,1966,325,""Entertainer"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(38,""Walt Disney "",1901,1966,325,""Entertainer"",""North America"");"
"""Neil Armstrong """,1930,2012,410,"""Scientist""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",39,"VALUES(39,""Neil Armstrong "",1930,2012,410,""Scientist"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(39,""Neil Armstrong "",1930,2012,410,""Scientist"",""North America"");"
"""Peter Sellers """,1925,1980,275,"""Entertainer""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",40,"VALUES(40,""Peter Sellers "",1925,1980,275,""Entertainer"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(40,""Peter Sellers "",1925,1980,275,""Entertainer"",""Europe"");"
"""Barack Obama """,1961,2019,290,"""Politician""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",41,"VALUES(41,""Barack Obama "",1961,2019,290,""Politician"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(41,""Barack Obama "",1961,2019,290,""Politician"",""North America"");"
"""Malcolm X """,1925,1965,200,"""Activist""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",42,"VALUES(42,""Malcolm X "",1925,1965,200,""Activist"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(42,""Malcolm X "",1925,1965,200,""Activist"",""North America"");"
"""J.K.Rowling """,1965,2019,270,"""Author""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",43,"VALUES(43,""J.K.Rowling "",1965,2019,270,""Author"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(43,""J.K.Rowling "",1965,2019,270,""Author"",""Europe"");"
"""Richard Branson """,1950,2019,345,"""Business""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",44,"VALUES(44,""Richard Branson "",1950,2019,345,""Business"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(44,""Richard Branson "",1950,2019,345,""Business"",""Europe"");"
"""Pele """,1940,2019,395,"""Sports""","""South America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",45,"VALUES(45,""Pele "",1940,2019,395,""Sports"",""South America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(45,""Pele "",1940,2019,395,""Sports"",""South America"");"
"""Angelina Jolie """,1975,2019,220,"""Entertainer""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",46,"VALUES(46,""Angelina Jolie "",1975,2019,220,""Entertainer"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(46,""Angelina Jolie "",1975,2019,220,""Entertainer"",""North America"");"
"""Jesse Owens """,1913,1980,335,"""Sports""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",47,"VALUES(47,""Jesse Owens "",1913,1980,335,""Sports"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(47,""Jesse Owens "",1913,1980,335,""Sports"",""North America"");"
"""Ernest Hemingway """,1899,1961,310,"""Author""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",48,"VALUES(48,""Ernest Hemingway "",1899,1961,310,""Author"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(48,""Ernest Hemingway "",1899,1961,310,""Author"",""North America"");"
"""John Lennon """,1940,1980,200,"""Music""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",49,"VALUES(49,""John Lennon "",1940,1980,200,""Music"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(49,""John Lennon "",1940,1980,200,""Music"",""Europe"");"
"""Henry Ford """,1863,1947,420,"""Business""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",50,"VALUES(50,""Henry Ford "",1863,1947,420,""Business"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(50,""Henry Ford "",1863,1947,420,""Business"",""North America"");"
"""Haile Selassie """,1892,1975,415,"""Politician""","""Africa""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",51,"VALUES(51,""Haile Selassie "",1892,1975,415,""Politician"",""Africa"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(51,""Haile Selassie "",1892,1975,415,""Politician"",""Africa"");"
"""Joseph Stalin """,1879,1953,370,"""Politician""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",52,"VALUES(52,""Joseph Stalin "",1879,1953,370,""Politician"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(52,""Joseph Stalin "",1879,1953,370,""Politician"",""Europe"");"
"""Michael Jordon """,1963,2019,280,"""Sports""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",54,"VALUES(54,""Michael Jordon "",1963,2019,280,""Sports"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(54,""Michael Jordon "",1963,2019,280,""Sports"",""North America"");"
"""George Bush Jnr """,1946,2019,365,"""Politician""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",55,"VALUES(55,""George Bush Jnr "",1946,2019,365,""Politician"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(55,""George Bush Jnr "",1946,2019,365,""Politician"",""North America"");"
"""Vladimir Lenin """,1870,1924,270,"""Politician""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",56,"VALUES(56,""Vladimir Lenin "",1870,1924,270,""Politician"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(56,""Vladimir Lenin "",1870,1924,270,""Politician"",""Europe"");"
"""Ingrid Bergman """,1915,1982,335,"""Entertainer""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",57,"VALUES(57,""Ingrid Bergman "",1915,1982,335,""Entertainer"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(57,""Ingrid Bergman "",1915,1982,335,""Entertainer"",""Europe"");"
"""Fidel Castro """,1926,2019,465,"""Politician""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",58,"VALUES(58,""Fidel Castro "",1926,2019,465,""Politician"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(58,""Fidel Castro "",1926,2019,465,""Politician"",""North America"");"
"""Leo Tolstoy """,1828,1910,410,"""Author""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",59,"VALUES(59,""Leo Tolstoy "",1828,1910,410,""Author"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(59,""Leo Tolstoy "",1828,1910,410,""Author"",""Europe"");"
"""Pablo Picasso """,1881,1973,460,"""Artist""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",60,"VALUES(60,""Pablo Picasso "",1881,1973,460,""Artist"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(60,""Pablo Picasso "",1881,1973,460,""Artist"",""Europe"");"
"""Oscar Wilde """,1854,1900,230,"""Author""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",61,"VALUES(61,""Oscar Wilde "",1854,1900,230,""Author"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(61,""Oscar Wilde "",1854,1900,230,""Author"",""Europe"");"
"""Coco Chanel """,1883,1971,440,"""Fashion""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",62,"VALUES(62,""Coco Chanel "",1883,1971,440,""Fashion"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(62,""Coco Chanel "",1883,1971,440,""Fashion"",""Europe"");"
"""Charles de Gaulle """,1890,1970,400,"""Politician""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",63,"VALUES(63,""Charles de Gaulle "",1890,1970,400,""Politician"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(63,""Charles de Gaulle "",1890,1970,400,""Politician"",""Europe"");"
"""Amelia Earhart """,1897,1937,200,"""Aviation""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",64,"VALUES(64,""Amelia Earhart "",1897,1937,200,""Aviation"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(64,""Amelia Earhart "",1897,1937,200,""Aviation"",""North America"");"
"""John M Keynes """,1883,1946,315,"""Economist""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",65,"VALUES(65,""John M Keynes "",1883,1946,315,""Economist"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(65,""John M Keynes "",1883,1946,315,""Economist"",""Europe"");"
"""Louis Pasteur """,1822,1895,365,"""Scientist""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",66,"VALUES(66,""Louis Pasteur "",1822,1895,365,""Scientist"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(66,""Louis Pasteur "",1822,1895,365,""Scientist"",""Europe"");"
"""Mikhail Gorbachev """,1931,2019,440,"""Politician""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",67,"VALUES(67,""Mikhail Gorbachev "",1931,2019,440,""Politician"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(67,""Mikhail Gorbachev "",1931,2019,440,""Politician"",""Europe"");"
"""Plato """,-423,-348,375,"""Philosopher""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",68,"VALUES(68,""Plato "",-423,-348,375,""Philosopher"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(68,""Plato "",-423,-348,375,""Philosopher"",""Europe"");"
"""Adolf Hitler """,1889,1945,280,"""Politician""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",69,"VALUES(69,""Adolf Hitler "",1889,1945,280,""Politician"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(69,""Adolf Hitler "",1889,1945,280,""Politician"",""Europe"");"
"""Sting """,1951,2019,340,"""Music""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",70,"VALUES(70,""Sting "",1951,2019,340,""Music"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(70,""Sting "",1951,2019,340,""Music"",""Europe"");"
"""Mary Magdalene """,-4,-40,-180,"""Religion""","""Asia""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",71,"VALUES(71,""Mary Magdalene "",-4,-40,-180,""Religion"",""Asia"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(71,""Mary Magdalene "",-4,-40,-180,""Religion"",""Asia"");"
"""Alfred Hitchcock """,1899,1980,405,"""Entertainer""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",72,"VALUES(72,""Alfred Hitchcock "",1899,1980,405,""Entertainer"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(72,""Alfred Hitchcock "",1899,1980,405,""Entertainer"",""North America"");"
"""Michael Jackson """,1958,2009,255,"""Music""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",73,"VALUES(73,""Michael Jackson "",1958,2009,255,""Music"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(73,""Michael Jackson "",1958,2009,255,""Music"",""North America"");"
"""Madonna """,1958,2019,305,"""Music""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",74,"VALUES(74,""Madonna "",1958,2019,305,""Music"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(74,""Madonna "",1958,2019,305,""Music"",""North America"");"
"""Mata Hari """,1876,1917,205,"""Politician""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",75,"VALUES(75,""Mata Hari "",1876,1917,205,""Politician"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(75,""Mata Hari "",1876,1917,205,""Politician"",""Europe"");"
"""Cleopatra """,-69,-30,195,"""Monarchy""","""Africa""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",76,"VALUES(76,""Cleopatra "",-69,-30,195,""Monarchy"",""Africa"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(76,""Cleopatra "",-69,-30,195,""Monarchy"",""Africa"");"
"""Grace Kelly """,1929,1982,265,"""Entertainer""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",77,"VALUES(77,""Grace Kelly "",1929,1982,265,""Entertainer"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(77,""Grace Kelly "",1929,1982,265,""Entertainer"",""North America"");"
"""Steve Jobs """,1955,2012,285,"""Business""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",78,"VALUES(78,""Steve Jobs "",1955,2012,285,""Business"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(78,""Steve Jobs "",1955,2012,285,""Business"",""North America"");"
"""Ronald Reagan """,1911,2004,465,"""Politician""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",79,"VALUES(79,""Ronald Reagan "",1911,2004,465,""Politician"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(79,""Ronald Reagan "",1911,2004,465,""Politician"",""North America"");"
